zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.8,0.0,0.0,0.0,0.0
AWO,CNC,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6,0.0,0.0,0.0
JST,NCCN,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0
MFI,CN(C)CC(C)(C)CN(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
STF,CC[N+]1(C)C2CCCC1CCC2,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
PWN,C[N+]12CC[N+](C)(CC1)CC2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.0,1.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0
AEN,C[N+](C)(C)C,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.0,1.0,0.0,0.0,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MOR,CN(C)CCCN(C)C,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25
CGS,C1CN2CCC1CC2,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.0,0.5,0.0,0.0,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LAU,Cn1ccnc1,0.25,0.0,0.25,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
EMT,CC[N+](CC)(CC)CC,0.5,0.5,0.5,0.5,0.25,0.0,0.0,1.0,0.0,0.5,0.0,0.0
TON,CCn1cc[n+](CC)c1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0
